
Symbol table '.dynsym' contains 2370 entries:
   Num:    Value          Size Type    Bind   Vis      Ndx Name
    58: 000000000008b450   316 FUNC    WEAK   DEFAULT   15 getc@@GLIBC_2.2.5
    59: 0000000000114820   340 FUNC    GLOBAL DEFAULT   15 pwritev2@@GLIBC_2.26
    60: 00000000000bce80   102 FUNC    WEAK   DEFAULT   15 wcpncpy@@GLIBC_2.2.5
    61: 0000000000087280   565 FUNC    GLOBAL DEFAULT   15 _IO_wdefault_xsputn@@GLIBC_2.2.5
    62: 0000000000115720    35 FUNC    GLOBAL DEFAULT   15 mkdtemp@@GLIBC_2.2.5
    63: 0000000000048120    39 FUNC    WEAK   DEFAULT   15 srand48_r@@GLIBC_2.2.5
    64: 00000000000442f0   124 FUNC    GLOBAL DEFAULT   15 sighold@@GLIBC_2.2.5
    65: 00000000001026b0    37 FUNC    GLOBAL DEFAULT   15 __sched_getparam@@GLIBC_2.2.5
    66: 000000000009cbb0    31 FUNC    GLOBAL DEFAULT   15 __default_morecore@@GLIBC_2.2.5
    67: 0000000000136630   120 FUNC    GLOBAL DEFAULT   15 iruserok@@GLIBC_2.2.5
    68: 000000000005b560   165 FUNC    GLOBAL DEFAULT   15 cuserid@@GLIBC_2.2.5
    69: 0000000000041ee0    32 FUNC    WEAK   DEFAULT   15 isnan@@GLIBC_2.2.5
    70: 0000000000047bb0   236 FUNC    WEAK   DEFAULT   15 setstate_r@@GLIBC_2.2.5
    71: 00000000000bcde0    92 IFUNC   WEAK   DEFAULT   15 wmemset@@GLIBC_2.2.5
    72: 000000000008ee70    20 FUNC    GLOBAL DEFAULT   15 _IO_file_stat@@GLIBC_2.2.5
    73: 00000000000a2340  1220 FUNC    WEAK   DEFAULT   15 argz_replace@@GLIBC_2.2.5
    74: 00000000000e8150    82 FUNC    WEAK   DEFAULT   15 globfree64@@GLIBC_2.2.5
    75: 000000000012cea0    24 FUNC    WEAK   DEFAULT   15 argp_usage@@GLIBC_2.2.5
    76: 000000000011fee0    37 FUNC    GLOBAL DEFAULT   15 timerfd_gettime@@GLIBC_2.8
    77: 00000000001bd3bc     4 OBJECT  GLOBAL DEFAULT   17 _sys_nerr@@GLIBC_2.12
    78: 00000000001bd3c8     4 OBJECT  GLOBAL DEFAULT   17 _sys_nerr@GLIBC_2.4
    79: 00000000001bd3c4     4 OBJECT  GLOBAL DEFAULT   17 _sys_nerr@GLIBC_2.3
    80: 000000000009f020    49 FUNC    GLOBAL DEFAULT   15 __libc_alloc_buffer_copy_string@@GLIBC_PRIVATE
    81: 00000000001bd3c0     4 OBJECT  GLOBAL DEFAULT   17 _sys_nerr@GLIBC_2.2.5
    82: 000000000011fa30    37 FUNC    WEAK   DEFAULT   15 clock_adjtime@@GLIBC_2.14
    83: 00000000001f151c     4 OBJECT  GLOBAL DEFAULT   35 getdate_err@@GLIBC_2.2.5
    84: 00000000000a1fe0    85 FUNC    WEAK   DEFAULT   15 argz_next@@GLIBC_2.2.5
    85: 00000000000e2f20   478 FUNC    GLOBAL DEFAULT   15 __fork@@GLIBC_2.2.5
    86: 0000000000124b30   842 FUNC    GLOBAL DEFAULT   15 getspnam_r@@GLIBC_2.2.5
    87: 0000000000102740    37 FUNC    GLOBAL DEFAULT   15 __sched_yield@@GLIBC_2.2.5
    88: 00000000000d02e0    17 FUNC    GLOBAL DEFAULT   15 __gmtime_r@@GLIBC_2.2.5
    89: 0000000000052990   222 FUNC    GLOBAL DEFAULT   15 l64a@@GLIBC_2.2.5
    90: 0000000000090820   175 FUNC    GLOBAL DEFAULT   15 _IO_file_attach@@GLIBC_2.2.5
    91: 00000000000dcf80    72 FUNC    WEAK   DEFAULT   15 wcsftime_l@@GLIBC_2.3
    92: 00000000000839a0   448 FUNC    WEAK   DEFAULT   15 gets@@GLIBC_2.2.5
    93: 0000000000082370   297 FUNC    WEAK   DEFAULT   15 fflush@@GLIBC_2.2.5
    94: 0000000000148640    74 FUNC    GLOBAL DEFAULT   15 _authenticate@@GLIBC_2.2.5
    95: 000000000014c180   454 FUNC    GLOBAL DEFAULT   15 getrpcbyname@@GLIBC_2.2.5
    96: 000000000008e040    48 FUNC    WEAK   DEFAULT   15 putc_unlocked@@GLIBC_2.2.5
    97: 0000000000119700    16 FUNC    GLOBAL DEFAULT   15 hcreate@@GLIBC_2.2.5
    98: 000000000009f200    89 IFUNC   GLOBAL DEFAULT   15 strcpy@@GLIBC_2.2.5
    99: 00000000000528c0   196 FUNC    GLOBAL DEFAULT   15 a64l@@GLIBC_2.2.5
   100: 0000000000155d00    55 FUNC    GLOBAL DEFAULT   15 xdr_long@@GLIBC_2.2.5
   101: 0000000000043470   149 FUNC    WEAK   DEFAULT   15 sigsuspend@@GLIBC_2.2.5
   102: 0000000000023f20     5 FUNC    GLOBAL DEFAULT   15 __libc_init_first@@GLIBC_2.2.5
   103: 0000000000160700    76 FUNC    GLOBAL DEFAULT   15 _dl_signal_exception@@GLIBC_PRIVATE
   104: 0000000000121220    50 FUNC    GLOBAL DEFAULT   15 shmget@@GLIBC_2.2.5
   105: 0000000000089b20   494 FUNC    GLOBAL DEFAULT   15 _IO_wdo_write@@GLIBC_2.2.5
   106: 0000000000062dd0    92 FUNC    GLOBAL DEFAULT   15 getw@@GLIBC_2.2.5
   107: 0000000000115380   457 FUNC    GLOBAL DEFAULT   15 gethostid@@GLIBC_2.2.5
   108: 00000000000471c0    21 FUNC    GLOBAL DEFAULT   15 __cxa_at_quick_exit@@GLIBC_2.10
   109: 00000000000a1c80    60 IFUNC   GLOBAL DEFAULT   15 __rawmemchr@@GLIBC_2.2.5
   110: 0000000000062fa0   108 FUNC    WEAK   DEFAULT   15 flockfile@@GLIBC_2.2.5
   111: 00000000000be090    22 FUNC    WEAK   DEFAULT   15 wcstof32x@@GLIBC_2.27
   112: 00000000000c9fc0   123 FUNC    WEAK   DEFAULT   15 wcsncasecmp_l@@GLIBC_2.3
